Engine Speed,Vehicle Speed,Gear
1338.59,34.17,3.00
1349.45,34.16,3.00
1357.81,34.15,3.00
1364.66,34.14,3.00
1369.17,34.13,3.00
1374.00,34.12,3.00
1377.43,34.12,3.00
1379.65,34.11,3.00
1382.84,34.10,3.00
1386.17,34.09,3.00
1388.63,34.08,3.00
1391.99,34.07,3.00
1392.82,34.06,3.00
1394.14,34.05,3.00
1392.60,34.05,3.00
1394.56,34.04,3.00
1395.53,34.03,3.00
1397.29,34.02,3.00
1398.74,34.01,3.00
1397.96,34.00,3.00
1396.95,34.00,3.00
1399.03,33.99,3.00
1396.81,33.98,3.00
1396.57,33.97,3.00
1397.99,33.96,3.00
1397.18,33.95,3.00
1396.47,33.95,3.00
1395.86,33.94,3.00
1394.67,33.93,3.00
1394.97,33.92,3.00
1397.16,33.91,3.00
1397.64,33.91,3.00
1397.69,33.90,3.00
1398.03,33.89,3.00
1399.28,33.88,3.00
1400.61,33.87,3.00
1398.41,33.87,3.00
1398.20,33.86,3.00
1397.35,33.85,3.00
1397.27,33.84,3.00
1397.50,33.83,3.00
1398.33,33.83,3.00
1398.66,33.82,3.00
1398.25,33.81,3.00
1398.54,33.80,3.00
1397.12,33.79,3.00
1397.88,33.79,3.00
1397.51,33.78,3.00
1395.20,33.77,3.00
1395.56,33.76,3.00
1394.19,33.75,3.00
1394.67,33.75,3.00
1397.34,33.74,3.00
1398.54,33.73,3.00
1399.83,33.72,3.00
1400.54,33.72,3.00
1400.45,33.71,3.00
1400.67,33.70,3.00
1401.16,33.69,3.00
1401.53,33.69,3.00
1400.50,33.68,3.00
1402.25,33.67,3.00
1399.73,33.66,3.00
1399.59,33.66,3.00
1399.13,33.65,3.00
1400.03,33.64,3.00
1402.06,33.63,3.00
1403.04,33.63,3.00
1403.16,33.62,3.00
1402.91,33.61,3.00
1403.66,33.60,3.00
1408.49,33.60,3.00
1406.53,33.59,3.00
1403.26,33.58,3.00
1401.88,33.57,3.00
1400.72,33.57,3.00
1400.07,33.56,3.00
1401.15,33.55,3.00
1398.74,33.55,3.00
1399.68,33.54,3.00
1397.47,33.53,3.00
1395.64,33.52,3.00
1395.74,33.52,3.00
1396.13,33.51,3.00
1394.79,33.50,3.00
1395.95,33.49,3.00
1395.90,33.49,3.00
1395.17,33.48,3.00
1398.81,33.47,3.00
1398.16,33.46,3.00
1395.31,33.46,3.00
1395.24,33.45,3.00
1395.15,33.44,3.00
1394.40,33.43,3.00
1394.41,33.43,3.00
1394.40,33.42,3.00
1392.72,33.41,3.00
1392.95,33.41,3.00
1392.14,33.40,3.00
1392.10,33.39,3.00
1391.38,33.38,3.00
1390.76,33.38,3.00
1390.89,33.37,3.00
1390.31,33.36,3.00
1390.79,33.35,3.00
1392.15,33.35,3.00
1390.94,33.34,3.00
1391.56,33.33,3.00
1391.38,33.32,3.00
1390.23,33.32,3.00
1389.25,33.31,3.00
1390.07,33.30,3.00
1390.06,33.29,3.00
1391.34,33.29,3.00
1392.69,33.28,3.00
1392.78,33.27,3.00
1394.14,33.27,3.00
1391.94,33.26,3.00
1393.07,33.25,3.00
1391.02,33.24,3.00
1390.95,33.24,3.00
1388.90,33.23,3.00
1390.81,33.22,3.00
1391.69,33.22,3.00
1392.38,33.21,3.00
1390.62,33.20,3.00
1390.14,33.19,3.00
1387.75,33.19,3.00
1389.39,33.18,3.00
1389.71,33.17,3.00
1390.28,33.17,3.00
1388.74,33.16,3.00
1389.10,33.15,3.00
1389.70,33.14,3.00
1389.51,33.14,3.00
1389.32,33.13,3.00
1388.16,33.12,3.00
1387.51,33.12,3.00
1387.28,33.11,3.00
1388.72,33.10,3.00
1387.23,33.09,3.00
1386.97,33.09,3.00
1386.08,33.08,3.00
1385.98,33.07,3.00
1390.16,33.07,3.00
1390.57,33.06,3.00
1389.89,33.05,3.00
1389.97,33.05,3.00
1390.00,33.04,3.00
1388.36,33.03,3.00
1386.01,33.02,3.00
1386.38,33.02,3.00
1391.92,33.01,3.00
1394.08,33.00,3.00
1391.20,33.00,3.00
1389.50,32.99,3.00
1387.11,32.98,3.00
1385.47,32.98,3.00
1385.42,32.97,3.00
1385.69,32.96,3.00
1384.89,32.96,3.00
1384.55,32.95,3.00
1382.59,32.94,3.00
1382.29,32.94,3.00
1380.70,32.93,3.00
1381.35,32.92,3.00
1381.86,32.91,3.00
1380.92,32.91,3.00
1380.14,32.90,3.00
1380.13,32.89,3.00
1380.43,32.89,3.00
1380.97,32.88,3.00
1380.40,32.87,3.00
1380.24,32.86,3.00
1380.41,32.86,3.00
1380.52,32.85,3.00
1378.27,32.84,3.00
1379.06,32.84,3.00
1379.01,32.83,3.00
1379.61,32.82,3.00
1380.40,32.82,3.00
1379.03,32.81,3.00
1377.89,32.80,3.00
1377.59,32.79,3.00
1376.33,32.79,3.00
1374.62,32.78,3.00
1373.52,32.77,3.00
1372.27,32.77,3.00
1370.55,32.76,3.00
1369.78,32.75,3.00
1370.11,32.74,3.00
1369.70,32.74,3.00
1368.34,32.73,3.00
1268.86,32.70,3.00
1283.04,32.69,3.00
1294.36,32.68,3.00
1306.22,32.67,3.00
1315.40,32.66,3.00
1324.94,32.65,3.00
1329.99,32.64,3.00
1335.59,32.63,3.00
1239.84,32.60,3.00
1259.46,32.59,3.00
1275.67,32.58,3.00
1288.08,32.57,3.00
1299.89,32.56,3.00
1310.05,32.55,3.00
1318.07,32.54,3.00
1323.86,32.53,3.00
1328.08,32.52,3.00
1333.31,32.51,3.00
1337.36,32.50,3.00
1341.41,32.50,3.00
1344.10,32.49,3.00
1346.99,32.48,3.00
1348.03,32.47,3.00
1348.53,32.46,3.00
1349.58,32.46,3.00
1408.42,32.45,3.00
1903.53,32.44,3.00
2219.32,32.55,3.00
2405.25,32.76,2.00
2711.43,32.91,2.00
2797.40,33.24,2.00
2839.90,33.60,2.00
2862.91,33.98,2.00
2878.33,34.36,2.00
2890.57,34.74,2.00
2901.80,35.12,2.00
2912.55,35.49,2.00
2922.95,35.87,2.00
2934.06,36.24,2.00
2945.56,36.60,2.00
2958.94,36.96,2.00
2972.78,37.32,2.00
2986.32,37.67,2.00
2999.44,38.02,2.00
3012.98,38.37,2.00
3026.66,38.72,2.00
3040.21,39.07,2.00
3055.06,39.41,2.00
3070.23,39.75,2.00
3084.99,40.08,2.00
3099.71,40.42,2.00
3114.09,40.76,2.00
3128.43,41.09,2.00
3144.22,41.42,2.00
3161.29,41.75,2.00
3178.12,42.09,2.00
3194.61,42.42,2.00
3211.55,42.75,2.00
3227.47,43.08,2.00
3243.97,43.41,2.00
3260.06,43.74,2.00
3276.55,44.07,2.00
3295.84,44.40,2.00
3313.58,44.73,2.00
3331.81,45.06,2.00
3350.12,45.39,2.00
3367.80,45.71,2.00
3386.43,46.04,2.00
3404.91,46.37,2.00
3424.16,46.69,2.00
3442.46,47.02,2.00
3461.41,47.34,2.00
3480.31,47.67,2.00
3498.13,48.00,2.00
3517.43,48.32,2.00
3536.20,48.65,2.00
3555.32,48.97,2.00
3573.68,49.30,2.00
3593.44,49.62,2.00
3611.54,49.95,2.00
3630.24,50.27,2.00
3647.34,50.60,2.00
3665.82,50.92,2.00
3682.99,51.24,2.00
3701.03,51.56,2.00
3718.02,51.88,2.00
3735.98,52.20,2.00
3753.27,52.52,2.00
3769.95,52.84,2.00
3787.28,53.16,2.00
3461.61,53.47,2.00
3257.66,53.56,3.00
2405.42,53.92,3.00
2262.36,53.94,3.00
2142.96,53.93,4.00
1747.78,54.02,4.00
1605.95,54.02,4.00
1518.73,54.00,4.00
1448.91,53.99,4.00
1390.41,53.97,4.00
1338.08,53.95,4.00
1288.67,53.92,4.00
1244.38,53.90,4.00
1201.37,53.88,4.00
1163.18,53.86,4.00
1126.56,53.84,4.00
1094.22,53.81,4.00
1067.40,53.79,4.00
1545.43,53.77,4.00
1975.32,53.75,4.00
2148.02,53.80,4.00
2220.16,53.89,4.00
2251.69,53.99,4.00
2265.88,54.09,4.00
2271.34,54.20,4.00
2273.93,54.31,4.00
2276.80,54.42,4.00
2279.51,54.53,4.00
1791.44,54.61,4.00
2121.77,54.62,4.00
2214.02,54.69,4.00
2253.16,54.79,4.00
2234.91,54.89,4.00
1783.98,54.99,4.00
1613.12,54.99,4.00
1511.24,54.97,4.00
1408.35,54.93,4.00
1315.18,54.89,4.00
1246.68,54.86,4.00
1182.15,54.84,4.00
1101.02,54.79,4.00
1022.57,54.75,4.00
972.00,54.72,4.00
923.79,54.70,4.00
850.15,54.65,4.00
807.36,54.63,4.00
767.88,54.61,4.00
697.83,54.56,4.00
662.71,54.54,4.00
631.24,54.51,4.00
597.45,54.49,4.00
569.29,54.47,4.00
541.87,54.44,4.00
513.72,54.42,4.00
483.35,54.40,4.00
460.96,54.37,4.00
436.71,54.35,4.00
417.41,54.33,4.00
394.50,54.30,4.00
374.23,54.28,4.00
356.52,54.26,4.00
335.70,54.23,4.00
318.28,54.21,4.00
300.90,54.19,4.00
284.34,54.16,4.00
271.09,54.14,4.00
255.97,54.12,4.00
241.57,54.09,4.00
227.01,54.07,4.00
214.00,54.05,4.00
209.46,54.02,4.00
205.17,54.00,4.00
194.96,53.98,4.00
187.01,53.95,4.00
177.70,53.93,4.00
167.94,53.91,4.00
157.77,53.88,4.00
153.49,53.86,4.00
144.91,53.84,4.00
140.38,53.81,4.00
135.16,53.79,4.00
132.95,53.77,4.00
126.28,53.75,4.00
117.19,53.72,4.00
110.37,53.70,4.00
103.88,53.68,4.00
93.98,53.65,4.00
87.35,53.63,4.00
